id,name,gender,age,time,score,penalty,status,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname
2,JFF,mixed,veteran,23:26:31,197,0,finished,EST,Tiina,Kangilaski,EST,Jaan,Metsa,,,
91,Pac a pusu,women,open,22:08:17,194,0,finished,CZE,Klára,Novotná,CZE,Romana,Zatloukalová,,,
185,DIVI PLUS DIVI,men,open,22:57:05,194,0,finished,LAT,Edgars,Rancans,LAT,Raivis,Ravins,,,
50,HP-Sport team Plus,mixed,veteran,22:12:17,193,0,finished,EST,Heiki,Pajuste,EST,Juula,Orav,,,
4,SK Tiirutuur,mixed,open,21:43:46,192,0,finished,EST,Andre,Solenikov,EST,Birgit,Barbo,,,
86,Forest,men,superveteran,13:23:00,190,0,finished,EST,Tõnu,Ilves,EST,Tiit,Tali,,,
142,Compass only North,mixed,open,19:58:17,189,0,finished,LAT,Elina,Jokuma,LAT,Mikelis,Bendiks,LAT,Kristaps,Steinbergs
60,Mialla,women,open,23:25:49,187,0,finished,FIN,Malla,Muhonen,FIN,Mia,Muhonen,,,
87,Metsakolli sõbrad,men,ultraveteran,23:25:38,186,0,finished,EST,Jüri,Kadaja,EST,Toomas,Liivamägi,,,
155,Vilmaras,women,ultraveteran,23:58:39,186,0,finished,LAT,Mara,Bolsteina,LAT,Vilhelmine,Berzupa,,,
124,PaSaulei O-Team,women,open,22:39:55,185,0,finished,LAT,Sigita,Cimermane,LAT,Ligita,Liepina,,,
32,Saba,women,veteran,16:16:28,184,0,finished,EST,Pille,Tiis,EST,Heli,Zvorovski,,,
173,Control Freaks,women,youth,21:41:01,183,0,finished,AUS,Isabella,Lilford,AUS,Chloe,Woodburn,,,
11,Konnad,women,open,22:46:59,179,0,finished,EST,Jaana,Toomik,EST,Helen,Aart,EST,Merle,Rohtla
153,Soovahtijad,men,open,23:42:02,177,0,finished,EST,Armin,Soosalu,EST,Jaanus,Vahi,,,
107,Loudové z Roztok,mixed,veteran,17:50:25,171,0,finished,CZE,Hana,Krístková,CZE,Lukáš,Krístek,,,
70,Find the hedgehog!,women,open,17:46:19,170,0,finished,LAT,Ilze,Puzule,LAT,Sintija,Levica,,,
165,Dreamers,mixed,ultraveteran,23:00:13,167,0,finished,UKR,Mykola,Opanasenko,UKR,Valentyna,Lytvyn,UKR,Vasyl,Rublevskyi
133,STK_returns,men,open,15:11:34,164,0,finished,LAT,Martinš,Birums,LAT,Janis,Prieditis,,,
35,17 aastat hiljem,women,open,23:07:40,158,0,finished,EST,Triin,Pohla,EST,Kairit,Kolsar,,,
156,SAAL,mixed,open,23:23:04,156,0,finished,EST,Angela,Ivask,EST,Kristjan,Saal,,,
17,Alchevsk Wanderers,mixed,ultraveteran,23:30:03,150,0,finished,UKR,Yuriy,Shur,UKR,Tetiana,Drytova,,,
207,WAlts,men,veteran,23:05:00,148,0,finished,LAT,Artis,Mednis,LAT,Gatis,Mednis,,,
100,Silva 132,women,ultraveteran,23:47:27,146,0,finished,LAT,Andra,Melbarde,LAT,Renate,Kokorevica,,,
192,Meža velni,mixed,superveteran,23:13:20,143,0,finished,LAT,Valdis,Groza,LAT,Astrida,Semjonova,,,
49,Fun Fun Fun,mixed,ultraveteran,22:51:13,139,0,finished,GBR,Charmian,Heaton,GBR,Steve,Wathall,,,
65,Cherkosy,mixed,youth,16:17:28,135,0,finished,UKR,Anastasiia,Zelena,UKR,Kateryna,Rak,UKR,Maksim,Berezniak
8,Siludus,mixed,open,20:02:46,130,0,finished,EST,Heili,Aavola,EST,Martin,Leissoo,,,
212,Klaabu ja tige kala,men,veteran,16:49:10,129,0,finished,EST,Silver,Rebenits,EST,Matis,Karu,,,
78,HalFastAsleep,mixed,ultraveteran,23:54:29,123,0,finished,USA,Sue,Kuestner,USA,Gavin,Wyatt-Mair,,,
154,BEZ AZIMUTA,men,veteran,21:15:18,121,0,finished,LAT,Aldis,Razgaila,LAT,Rinalds,Zeltins,,,
72,Karun,men,open,23:16:36,110,0,finished,EST,Juhan,Karin,EST,Veiko,Karu,,,
36,VV,mixed,veteran,10:56:50,105,0,finished,EST,Helen,Vellau,EST,Ago,Väärsi,,,
130,Team Tilda,mixed,superveteran,9:36:49,104,0,finished,EST,Einar,Luup,FIN,Päivi,Kärkkäinen,,,
48,Purva brideji,mixed,open,19:09:20,98,0,finished,LAT,Nauris,Cablis,LAT,Martinš,Cablis,LAT,Baiba,Nummure
51,Suvitajad,mixed,open,5:40:05,74,0,finished,EST,Tiina-Maria,Tali,EST,Taivo,Tali,,,
13,Meklejot Mežam galu.,women,superveteran,9:33:56,0,0,withdrawn,LAT,Gerda,Sirma,LAT,Zane,Blumberga,,,
21,Bolton Wanderers,men,veteran,15:06:09,0,0,withdrawn,NED,Ahmed,Mohammad,GBR,Shahid,Mohammed,,,
137,Corremontes.es,mixed,superveteran,0:00:00,0,0,not started,ESP,María José Merino,Hernantes,ESP,Roberto Montes,Marcos,,,
176,Dog cuts,men,open,0:00:00,0,0,not started,UKR,Dmytro,Lytvynenko,UKR,Yevhenii,Chornyi,,,
195,Lainema Bros,men,superveteran,0:00:00,0,0,not started,FIN,Timo,Lainema,FIN,Tommi,Lainema,,,
208,Team Koerad,men,youth,0:00:00,0,0,not started,EST,Otto,Pluum,EST,Renno,Merenäkk,,,
213,Ukrainian Girls,women,open,0:00:00,0,0,not started,UKR,Polina,Zakharova,UKR,Anna,Hudelaitis,,,
