name,gender,age,status,penalty,time,score,id,member1country,member1lastname,member1firstname,member2country,member2lastname,member2firstname,member3country,member3lastname,member3firstname,member4country,member4lastname,member4firstname
ANDINE,women,superveteran,,0,23:09:52,92,208,LAT,Aulika,Ineta,LAT,Jansone,Andra,,,,,,
KM Building,mixed,open,,0,9:14:47,89,7,LAT,Čirka,Agnese,LAT,Čirka,Gatis,,,,,,
Uuri metsa,women,open,,0,13:56:19,86,138,EST,Jõeleht,Tagni,EST,Laurend,Emily,,,,,,
KURASE HÜLGED,men,veteran,,0,18:32:55,78,132,EST,Busch,Veiko,EST,Sinkkonen,Markko,,,,,,
Vunder Project B,mixed,veteran,,0,8:53:19,71,233,NOR,Aadnevik,Jørn,EST,Karmin,Monika,,,,,,
Aktīvā direktorija,mixed,open,withdrawn,0,0:00:00,0,62,LAT,Svikle,Aija,LAT,Šapkus,Didzis,,,,,,
Team Kutti,mixed,open,withdrawn,0,11:14:40,0,134,EST,Kutti,Elina,EST,Kutti,Kardo,,,,,,
Lynx-Lynx,mixed,superveteran,withdrawn,0,12:07:50,0,190,EST,Ilves,Elin,EST,Ilves,Tõnu,,,,,,
Metsälased,men,youth,withdrawn,19,24:18:41,0,139,EST,Kaljur,Markus,EST,Merenäkk,Renno,,,,,,
Klanova,men,superveteran,withdrawn,0,23:34:00,0,148,EST,Laur,Toomas,EST,Roose,Antti,,,,,,
